objectid,number,name,address,latitude,longitude,status,bike_stands,available_bike_stands,available_bikes,bonus,banking,last_update,CreationDate,Creator,EditDate,Editor,x,y
170,18008,18008 - SQUARE LEON,FACE 36 RUE CAVE - 75018 PARIS,48.88666703,2.35321307,OPEN,33,17,15,0,1,5/16/2013 7:04:36 PM,5/15/2013 7:37:16 PM,VotreNom,5/16/2013 7:05:41 PM,VotreNom,2.35321307162406,48.8866670263751
171,35007,35007 - DELESSERT (PANTIN),1 RUE  BENJAMIN DELESSERT - 93500 PANTIN,48.89394371,2.41802966,OPEN,21,14,7,0,1,5/16/2013 7:01:26 PM,5/15/2013 7:37:16 PM,VotreNom,5/16/2013 7:02:40 PM,VotreNom,2.41802965968679,48.8939437131899
172,32004,32004 - BAILLY (SAINT DENIS),AVENUE DU PRESIDENT WILSON/ RUE DE BAILLY - 93200 SAINT DENIS,48.91519864,2.35750068,OPEN,43,39,3,0,1,5/16/2013 7:03:26 PM,5/15/2013 7:37:16 PM,VotreNom,5/16/2013 7:04:39 PM,VotreNom,2.35750068368612,48.915198642437
173,19013,19013 - LAUMIERE ET LAUMIERE BIS,8 & 1 RUE PETIT - 75019 PARIS,48.88458074,2.38012665,OPEN,33,10,23,0,1,5/16/2013 6:57:30 PM,5/15/2013 7:37:16 PM,VotreNom,5/16/2013 6:58:39 PM,VotreNom,2.38012665025373,48.8845807406891
174,20110,20110 - PORTE DES LILAS,FACE 241 AVENUE GAMBETTA - 75020 PARIS,48.87541242,2.40596033,OPEN,20,20,0,1,1,5/16/2013 6:56:44 PM,5/15/2013 7:37:16 PM,VotreNom,5/16/2013 6:57:39 PM,VotreNom,2.40596033115492,48.875412421861
175,17049,17049 - SAUSSURE,116 BIS RUE DE SAUSSURE - 75017 PARIS,48.88819924,2.31062342,OPEN,19,13,6,0,1,5/16/2013 7:02:29 PM,5/15/2013 7:37:16 PM,VotreNom,5/16/2013 7:03:41 PM,VotreNom,2.31062341756796,48.8881992361537
176,10151,10151 - GARE DU NORD 1,8-10 RUE DE DUNKERQUE - 75010 PARIS,48.87963935,2.35690496,OPEN,26,26,0,0,1,5/16/2013 7:03:10 PM,5/15/2013 7:37:16 PM,VotreNom,5/16/2013 7:03:41 PM,VotreNom,2.35690495841524,48.8796393529951
177,21002,21002 - DENFERT ROCHEREAU (BOULOGNE-BILLANCOURT),PLACE DENFERT ROCHEREAU - 92100 BOULOGNE BILLANCOURT,48.84317666,2.24621423,OPEN,20,0,20,0,1,5/16/2013 7:04:43 PM,5/15/2013 7:37:16 PM,VotreNom,5/16/2013 7:05:41 PM,VotreNom,2.24621423158067,48.8431766558771
178,5014,05014 - CALVIN,8 RUE JEAN CALVIN - 75005 PARIS,48.84163271,2.34855202,OPEN,28,25,3,0,1,5/16/2013 6:59:31 PM,5/15/2013 7:37:16 PM,VotreNom,5/16/2013 7:00:40 PM,VotreNom,2.34855201811702,48.8416327086176
179,5021,05021 - JUSSIEU,41 RUE JUSSIEU - 75005 PARIS,48.84718464,2.35339838,OPEN,36,22,13,0,1,5/16/2013 7:03:42 PM,5/15/2013 7:37:16 PM,VotreNom,5/16/2013 7:04:39 PM,VotreNom,2.35339837968939,48.8471846411502
180,3014,03014 - GRENIER SAINT LAZARE,FACE 34 RUE GRENIER SAINT LAZARE - 75003 PARIS,48.86306283,2.35283938,OPEN,31,0,31,0,1,5/16/2013 7:04:52 PM,5/15/2013 7:37:16 PM,VotreNom,5/16/2013 7:05:41 PM,VotreNom,2.35283938071818,48.8630628327432
181,18010,18010 - MARX DORMOY,81 RUE RIQUET - 75018 PARIS,48.89013399,2.36050424,OPEN,48,24,24,0,1,5/16/2013 7:05:18 PM,5/15/2013 7:37:16 PM,VotreNom,5/16/2013 7:05:41 PM,VotreNom,2.36050424484145,48.8901339874871
182,14115,14115 - CITÉ UNIVERSITAIRE,AVENUE MAURICE D'OCAGNE - 75014 PARIS,48.82392317,2.31657333,OPEN,33,32,1,0,1,5/16/2013 7:01:30 PM,5/15/2013 7:37:16 PM,VotreNom,5/16/2013 7:02:40 PM,VotreNom,2.31657332931612,48.8239231685447
183,42702,42702 - LECLERC (KREMLIN BICETRE),73 RUE DU GENERAL LECLERC - 94270 LE KREMELIN BICETRE,48.8104775,2.3581729,OPEN,20,15,5,1,1,5/16/2013 7:04:00 PM,5/15/2013 7:37:16 PM,VotreNom,5/16/2013 7:04:39 PM,VotreNom,2.35817289646253,48.8104774996005
184,41601,41601 - GENERAL DE GAULLE (SAINT MANDE),86 AVENUE DU GENERAL DE GAULLE - 94160 SAINT MANDE,48.83903043,2.41741044,OPEN,24,0,22,0,1,5/16/2013 6:58:41 PM,5/15/2013 7:37:16 PM,VotreNom,5/16/2013 6:59:44 PM,VotreNom,2.41741043540354,48.8390304317693
185,10042,10042 - POISSONNIÈRE - ENGHIEN,52 RUE D'ENGHIEN / ANGLE RUE DU FAUBOURG POISSONIERE - 75010 PARIS,48.87242006,2.34839524,OPEN,33,13,20,0,1,5/16/2013 6:56:49 PM,5/15/2013 7:37:16 PM,VotreNom,5/16/2013 6:57:39 PM,VotreNom,2.34839523628282,48.8724200630532
